n;p;time
10000000;15;0.1794116497039795
50000000;15;0.8099684715270996
100000000;15;1.473313570022583
1000000;2;0.05223441123962402
5000000;2;0.2643892765045166
10000000;2;0.5749011039733887
50000000;2;2.458359956741333
100000000;2;5.4005982875823975
1000000;3;0.0368657112121582
5000000;3;0.18715476989746094
10000000;3;0.36762213706970215
50000000;3;1.848996639251709
100000000;3;3.6331825256347656
1000000;4;0.034639596939086914
5000000;4;0.15709757804870605
10000000;4;0.3410065174102783
50000000;4;1.3534960746765137
100000000;4;3.3791897296905518
1000000;5;0.02277207374572754
5000000;5;0.11621212959289551
10000000;5;0.2884175777435303
50000000;5;1.1852939128875732
100000000;5;2.426941156387329
1000000;6;0.019217967987060547
5000000;6;0.10315108299255371
10000000;6;0.6771135330200195
50000000;6;1.2951586246490479
100000000;6;2.170804023742676
1000000;7;0.025549888610839844
5000000;7;0.09970784187316895
10000000;7;0.2303922176361084
50000000;7;0.8189306259155273
100000000;7;1.7278060913085938
1000000;8;0.014723539352416992
5000000;8;0.08756852149963379
10000000;8;0.19646716117858887
50000000;8;1.0331168174743652
100000000;8;1.459681510925293
1000000;9;0.0732572078704834
5000000;9;0.13230657577514648
10000000;9;0.7621896266937256
50000000;9;1.1836118698120117
100000000;9;7.248102903366089
1000000;10;0.05759119987487793
5000000;10;0.28206753730773926
10000000;10;0.5996427536010742
50000000;10;1.9009125232696533
100000000;10;2.0873870849609375
1000000;11;0.022984981536865234
5000000;11;0.11634278297424316
10000000;11;0.24945569038391113
50000000;11;1.1187098026275635
100000000;11;2.086109161376953
1000000;12;0.021212100982666016
5000000;12;0.08957386016845703
10000000;12;0.15806293487548828
50000000;12;0.9881610870361328
100000000;12;2.039079427719116
1000000;13;0.05666017532348633
5000000;13;0.21873021125793457
10000000;13;0.18859505653381348
50000000;13;2.254100799560547
100000000;13;1.9202299118041992
1000000;14;0.01928424835205078
5000000;14;0.09993124008178711
10000000;14;0.21591997146606445
50000000;14;0.9565756320953369
100000000;14;1.4987740516662598
1000000;15;0.01668238639831543
5000000;15;0.07454156875610352
10000000;15;0.17873096466064453
50000000;15;0.8332781791687012
100000000;15;2.2246408462524414
1000000;2;0.05299043655395508
5000000;2;0.28005218505859375
10000000;2;0.4940185546875
50000000;2;3.0127415657043457
100000000;2;5.255030393600464
1000000;3;0.03544449806213379
5000000;3;0.25549817085266113
10000000;3;0.5707447528839111
50000000;3;1.8680269718170166
100000000;3;3.676149368286133
1000000;4;0.029494047164916992
5000000;4;0.14601588249206543
10000000;4;0.2630429267883301
50000000;4;1.7999768257141113
100000000;4;2.679837703704834
1000000;5;0.02910757064819336
5000000;5;0.11306571960449219
10000000;5;0.33036255836486816
50000000;5;1.4351847171783447
100000000;5;2.597473621368408
1000000;6;0.019296646118164062
5000000;6;0.10058712959289551
10000000;6;0.5268678665161133
50000000;6;1.137225866317749
100000000;6;2.185011625289917
1000000;7;0.029916763305664062
5000000;7;0.11479806900024414
10000000;7;0.18187284469604492
50000000;7;0.8909423351287842
100000000;7;1.9393136501312256
1000000;8;0.014821052551269531
5000000;8;0.12506794929504395
10000000;8;0.2514491081237793
50000000;8;1.0215792655944824
100000000;8;1.7159433364868164
1000000;9;0.06710982322692871
5000000;9;0.3700554370880127
10000000;9;0.6958250999450684
50000000;9;1.1857619285583496
100000000;9;2.698251247406006
1000000;10;0.02466416358947754
5000000;10;0.26168179512023926
10000000;10;0.21850371360778809
50000000;10;3.803590774536133
100000000;10;2.1206955909729004
1000000;11;0.025509119033813477
5000000;11;0.11019372940063477
10000000;11;0.2449018955230713
50000000;11;1.0064570903778076
100000000;11;2.1366770267486572
1000000;12;0.018155336380004883
5000000;12;0.05824708938598633
10000000;12;0.1958627700805664
50000000;12;0.8951263427734375
100000000;12;4.640287637710571
1000000;13;0.021349668502807617
5000000;13;0.09619379043579102
10000000;13;0.20430612564086914
50000000;13;0.8052647113800049
100000000;13;5.429783582687378
1000000;14;0.019910335540771484
5000000;14;0.0913536548614502
10000000;14;0.17291498184204102
50000000;14;0.49732232093811035
100000000;14;1.5055899620056152
1000000;15;0.01675558090209961
5000000;15;0.07923173904418945
10000000;15;0.16278505325317383
50000000;15;0.8683261871337891
100000000;15;1.633220911026001
1000000;2;0.05211043357849121
5000000;2;0.29206180572509766
10000000;2;0.49804210662841797
50000000;2;2.4457898139953613
100000000;2;5.183314800262451
1000000;3;0.041481971740722656
5000000;3;0.20986628532409668
10000000;3;0.48662805557250977
50000000;3;2.0024631023406982
100000000;3;3.6357550621032715
1000000;4;0.030895471572875977
5000000;4;0.15881752967834473
10000000;4;0.2699005603790283
50000000;4;1.8648276329040527
100000000;4;3.2576096057891846
1000000;5;0.03384876251220703
5000000;5;0.12296366691589355
10000000;5;0.2788217067718506
50000000;5;1.4107592105865479
100000000;5;2.242311716079712
1000000;6;0.020161867141723633
5000000;6;0.09453988075256348
10000000;6;0.5294806957244873
50000000;6;1.0979533195495605
100000000;6;2.289790153503418
1000000;7;0.028284311294555664
5000000;7;0.11137866973876953
10000000;7;0.17604756355285645
50000000;7;1.1083662509918213
100000000;7;1.6311638355255127
1000000;8;0.020667552947998047
5000000;8;0.11458826065063477
10000000;8;0.19401955604553223
50000000;8;1.228344440460205
100000000;8;1.8971986770629883
1000000;9;0.07895112037658691
5000000;9;0.35259294509887695
10000000;9;0.2742631435394287
50000000;9;3.0606422424316406
100000000;9;2.710540294647217
1000000;10;0.028336048126220703
5000000;10;0.13213443756103516
10000000;10;0.6068649291992188
50000000;10;2.9508471488952637
100000000;10;2.1605069637298584
1000000;11;0.021117210388183594
5000000;11;0.09775662422180176
10000000;11;0.261077880859375
50000000;11;2.609250068664551
100000000;11;1.9097020626068115
1000000;12;0.019165992736816406
5000000;12;0.04878807067871094
10000000;12;0.49150776863098145
50000000;12;0.9971706867218018
100000000;12;2.229463815689087
1000000;13;0.018248319625854492
5000000;13;0.09836173057556152
10000000;13;0.1861882209777832
50000000;13;0.9757025241851807
100000000;13;1.8334424495697021
1000000;14;0.016240596771240234
