n;p;time
60;10;0.051190853118896484
80;10;0.10666227340698242
30;11;0.007859945297241211
60;11;0.049634695053100586
80;11;0.1085672378540039
30;12;0.005991220474243164
60;12;0.04601573944091797
80;12;0.11081266403198242
30;13;0.005909919738769531
60;13;0.03957653045654297
80;13;0.09384655952453613
30;14;0.006846189498901367
60;14;0.03853726387023926
80;14;0.08651328086853027
30;15;0.0072329044342041016
60;15;0.03444218635559082
80;15;0.0724034309387207
30;2;0.0258023738861084
60;2;0.17991018295288086
80;2;0.3943614959716797
30;3;0.014170408248901367
60;3;0.10561394691467285
80;3;0.21300411224365234
30;4;0.00947880744934082
60;4;0.06781554222106934
80;4;0.15825653076171875
30;5;0.007695674896240234
60;5;0.05140042304992676
80;5;0.13201498985290527
30;6;0.006662607192993164
60;6;0.04240703582763672
80;6;0.09861874580383301
30;7;0.006323099136352539
60;7;0.03754758834838867
80;7;0.11252546310424805
30;8;0.005097150802612305
60;8;0.04836130142211914
80;8;0.08507013320922852
30;9;0.007029056549072266
60;9;0.07423233985900879
80;9;0.13373208045959473
30;10;0.008974790573120117
60;10;0.05322432518005371
80;10;0.10707807540893555
30;11;0.008008718490600586
60;11;0.04719662666320801
80;11;0.10883331298828125
30;12;0.005402088165283203
60;12;0.04468655586242676
80;12;0.10560345649719238
30;13;0.005214214324951172
60;13;0.03968381881713867
80;13;0.09261226654052734
30;14;0.0070917606353759766
60;14;0.03733086585998535
80;14;0.08470439910888672
30;15;0.0070378780364990234
60;15;0.033683061599731445
80;15;0.0713651180267334
30;2;0.025344371795654297
60;2;0.17369771003723145
80;2;0.3975398540496826
30;3;0.012193441390991211
60;3;0.10401678085327148
80;3;0.23635578155517578
30;4;0.009663105010986328
60;4;0.06784701347351074
80;4;0.15032720565795898
30;5;0.0073359012603759766
60;5;0.052080392837524414
80;5;0.12130570411682129
30;6;0.006944894790649414
60;6;0.04229021072387695
80;6;0.09539103507995605
30;7;0.005708932876586914
60;7;0.03926992416381836
80;7;0.0952763557434082
30;8;0.005264759063720703
60;8;0.030213117599487305
80;8;0.07937049865722656
30;9;0.006736278533935547
60;9;0.07383251190185547
80;9;0.1241455078125
30;10;0.00875234603881836
60;10;0.05437588691711426
80;10;0.10239243507385254
30;11;0.007954597473144531
60;11;0.049094200134277344
80;11;0.10917949676513672
30;12;0.0059490203857421875
60;12;0.04551553726196289
80;12;0.11716842651367188
30;13;0.0059888362884521484
60;13;0.04042196273803711
80;13;0.09477877616882324
30;14;0.006909847259521484
60;14;0.03904414176940918
80;14;0.08853363990783691
30;15;0.007244586944580078
60;15;0.03428483009338379
80;15;0.07445859909057617
30;2;0.024536848068237305
60;2;0.17589521408081055
80;2;0.41350650787353516
30;3;0.012729644775390625
60;3;0.10050702095031738
80;3;0.23774337768554688
30;4;0.009716510772705078
60;4;0.06931424140930176
80;4;0.15915632247924805
30;5;0.007412910461425781
60;5;0.05019998550415039
80;5;0.12338042259216309
30;6;0.006917238235473633
60;6;0.043732404708862305
80;6;0.0981895923614502
30;7;0.005876779556274414
60;7;0.03802323341369629
80;7;0.09528779983520508
30;8;0.005478620529174805
60;8;0.030504226684570312
80;8;0.0699014663696289
30;9;0.006860017776489258
60;9;0.0758519172668457
80;9;0.12698602676391602
30;10;0.008085250854492188
60;10;0.05406951904296875
80;10;0.1100614070892334
30;11;0.00777745246887207
60;11;0.04754757881164551
80;11;0.11251425743103027
30;12;0.005904436111450195
60;12;0.04578733444213867
80;12;0.10669350624084473
30;13;0.005945444107055664
60;13;0.04066753387451172
80;13;0.0975346565246582
30;14;0.00681304931640625
60;14;0.038260698318481445
80;14;0.0879507064819336
30;15;0.007122516632080078
60;15;0.03301548957824707
80;15;0.07169198989868164
30;2;0.02661299705505371
60;2;0.17374444007873535
80;2;0.4109337329864502
30;3;0.013621330261230469
