myproc;p;n;time
2;3;1000000;2.796342134475708
0;3;1000000;2.7970972061157227
1;3;1000000;2.7969443798065186
3;4;1000000;2.0797979831695557
1;4;1000000;2.1233625411987305
2;4;1000000;2.1754353046417236
0;4;1000000;2.1761622428894043
1;5;1000000;1.8274545669555664
3;5;1000000;1.8332560062408447
4;5;1000000;1.8506176471710205
2;5;1000000;1.9214503765106201
0;5;1000000;2.0426952838897705
1;6;1000000;1.522770881652832
3;6;1000000;1.5431439876556396
2;6;1000000;1.6000144481658936
5;6;1000000;1.606632947921753
0;6;1000000;1.6451756954193115
4;6;1000000;1.6232309341430664
1;7;1000000;1.3455438613891602
5;7;1000000;1.3829522132873535
4;7;1000000;1.392162799835205
6;7;1000000;1.4029154777526855
0;7;1000000;1.4141695499420166
2;7;1000000;1.340785264968872
3;7;1000000;1.4139676094055176
0;1;100000;0.7945883274078369
1;2;100000;0.40399789810180664
0;2;100000;0.4103984832763672
2;3;100000;0.29962873458862305
0;3;100000;0.3061714172363281
1;3;100000;0.3060169219970703
1;4;100000;0.22350788116455078
0;4;100000;0.23255443572998047
3;4;100000;0.23238134384155273
2;4;100000;0.23099136352539062
1;5;100000;0.16736793518066406
4;5;100000;0.17158746719360352
3;5;100000;0.17240238189697266
0;5;100000;0.18016695976257324
2;5;100000;0.18001627922058105
5;6;100000;0.17451810836791992
1;6;100000;0.17575430870056152
4;6;100000;0.17986774444580078
0;6;100000;0.18749642372131348
2;6;100000;0.16943788528442383
3;6;100000;0.17652416229248047
5;7;100000;0.13027453422546387
1;7;100000;0.13202571868896484
4;7;100000;0.12985754013061523
6;7;100000;0.1343986988067627
3;7;100000;0.13584685325622559
0;7;100000;0.14083266258239746
2;7;100000;0.1406245231628418
0;1;10000;0.10543370246887207
1;2;10000;0.042453765869140625
0;2;10000;0.04288816452026367
2;3;10000;0.02995753288269043
1;3;10000;0.030617713928222656
0;3;10000;0.03159952163696289
3;4;10000;0.019842147827148438
2;4;10000;0.021251678466796875
1;4;10000;0.022307872772216797
0;4;10000;0.022890090942382812
4;5;10000;0.017905235290527344
1;5;10000;0.01886773109436035
0;5;10000;0.02169346809387207
2;5;10000;0.01861882209777832
3;5;10000;0.01847076416015625
1;6;10000;0.01563715934753418
3;6;10000;0.01559138298034668
2;6;10000;0.015944719314575195
5;6;10000;0.016083478927612305
0;6;10000;0.016291141510009766
4;6;10000;0.01566457748413086
2;7;10000;0.013149738311767578
3;7;10000;0.013348817825317383
1;7;10000;0.01345968246459961
5;7;10000;0.013521432876586914
0;7;10000;0.014428138732910156
4;7;10000;0.013745546340942383
6;7;10000;0.014252185821533203
0;1;1000;0.00846552848815918
0;2;1000;0.004831552505493164
1;2;1000;0.004635334014892578
2;3;1000;0.0031054019927978516
0;3;1000;0.003322601318359375
1;3;1000;0.003175020217895508
0;4;1000;0.004682779312133789
1;4;1000;0.003875732421875
2;4;1000;0.002446889877319336
3;4;1000;0.0038785934448242188
4;5;1000;0.0019037723541259766
2;5;1000;0.0019626617431640625
3;5;1000;0.001964569091796875
0;5;1000;0.002177715301513672
1;5;1000;0.002003908157348633
5;6;1000;0.0016808509826660156
1;6;1000;0.0017199516296386719
4;6;1000;0.0017385482788085938
0;6;1000;0.007853984832763672
2;6;1000;0.0016608238220214844
3;6;1000;0.0017094612121582031
1;7;1000;0.0013856887817382812
6;7;1000;0.001369476318359375
4;7;1000;0.0014393329620361328
